"CubeId";"zimoma"
"PublishingDate";"2023-10-02 14:30"

"Date";"D0";"Value"
"1994-04";"1TGT";"3.75"
"1994-04";"EG3M";"3.818"
"1994-05";"SARON";
"1994-05";"1TGT";"4.25"
"1994-05";"EG3M";"4.109"
"1994-06";"SARON";
"1994-06";"1TGT";"4"
"1994-06";"EG3M";"4.182"
"1994-07";"SARON";
"1994-07";"1TGT";"4"
"1994-07";"EG3M";"4.226"
"1994-08";"SARON";
"1994-08";"1TGT";"3.875"
"1994-08";"EG3M";"4.182"
"1994-09";"SARON";
"1994-09";"1TGT";"3.875"
"1994-09";"EG3M";"3.879"
"1994-10";"SARON";
"1994-10";"1TGT";"3.625"
"1994-10";"EG3M";"3.911"
"1994-11";"SARON";
"1994-11";"1TGT";"3.375"
"1994-11";"EG3M";"3.798"
"1994-12";"SARON";
"1994-12";"1TGT";"3.5"
"1994-12";"EG3M";"4.061"
"1995-01";"SARON";
"1995-01";"1TGT";"3.625"
"1995-01";"EG3M";"3.891"
"1995-02";"SARON";
"1995-02";"1TGT";"3.5"
"1995-02";"EG3M";"3.673"
"1995-03";"SARON";
"1995-03";"1TGT";"3.4375"
"1995-03";"EG3M";"3.436"
"1995-04";"SARON";
"1995-04";"1TGT";"3.375"
"1995-04";"EG3M";"3.299"
"1995-05";"SARON";
"1995-05";"1TGT";"3.125"
"1995-05";"EG3M";"3.074"
"1995-06";"SARON";
"1995-06";"1TGT";"3"
"1995-06";"EG3M";"2.905"
"1995-07";"SARON";
"1995-07";"1TGT";"2.5"
"1995-07";"EG3M";"2.436"
"1995-08";"SARON";
"1995-08";"1TGT";"2.875"
"1995-08";"EG3M";"2.688"
"1995-09";"SARON";
"1995-09";"1TGT";"2"
"1995-09";"EG3M";"2.291"
"1995-10";"SARON";
"1995-10";"1TGT";"1.875"
"1995-10";"EG3M";"1.924"
"1995-11";"SARON";
"1995-11";"1TGT";"2"
"1995-11";"EG3M";"1.884"
"1995-12";"SARON";
"1995-12";"1TGT";"1.75"
"1995-12";"EG3M";"1.711"
"1996-01";"SARON";
"1996-01";"1TGT";"1.5"
"1996-01";"EG3M";"1.501"
"1996-02";"SARON";
"1996-02";"1TGT";"1.25"
"1996-02";"EG3M";"1.441"
"1996-03";"SARON";
"1996-03";"1TGT";"1.375"
"1996-03";"EG3M";"1.581"
"1996-04";"SARON";
"1996-04";"1TGT";"1.625"
"1996-04";"EG3M";"1.541"
"1996-05";"SARON";
"1996-05";"1TGT";"2.625"
"1996-05";"EG3M";"2.012"
"1996-06";"SARON";
"1996-06";"1TGT";"2.125"
"1996-06";"EG3M";"2.508"
"1996-07";"SARON";
"1996-07";"1TGT";"2.25"
"1996-07";"EG3M";"2.344"
"1996-08";"SARON";
"1996-08";"1TGT";"1.75"
"1996-08";"EG3M";"1.94"
"1996-09";"SARON";
"1996-09";"1TGT";"1.125"
"1996-09";"EG3M";"1.457"
"1996-10";"SARON";
"1996-10";"1TGT";"1.5"
"1996-10";"EG3M";"1.374"
"1996-11";"SARON";
"1996-11";"1TGT";"1.625"
"1996-11";"EG3M";"1.25"
"1996-12";"SARON";
"1996-12";"1TGT";"1.5"
"1996-12";"EG3M";"1.687"
"1997-01";"SARON";
"1997-01";"1TGT";"1.5"
"1997-01";"EG3M";"1.561"
"1997-02";"SARON";
"1997-02";"1TGT";"1.625"
"1997-02";"EG3M";"1.521"
"1997-03";"SARON";
"1997-03";"1TGT";"1.625"
"1997-03";"EG3M";"1.748"
"1997-04";"SARON";
"1997-04";"1TGT";"1.375"
"1997-04";"EG3M";"1.645"
"1997-05";"SARON";
"1997-05";"1TGT";"0.5"
"1997-05";"EG3M";"1.23"
"1997-06";"SARON";
"1997-06";"1TGT";"1.25"
"1997-06";"EG3M";"1.194"
"1997-07";"SARON";
"1997-07";"1TGT";"1.25"
"1997-07";"EG3M";"1.302"
"1997-08";"SARON";
"1997-08";"1TGT";"1"
"1997-08";"EG3M";"1.238"
"1997-09";"SARON";
"1997-09";"1TGT";"1.125"
"1997-09";"EG3M";"1.264"
"1997-10";"SARON";
"1997-10";"1TGT";"1.5"
"1997-10";"EG3M";"1.589"
"1997-11";"SARON";
"1997-11";"1TGT";"1.1875"
"1997-11";"EG3M";"1.72"
"1997-12";"SARON";
"1997-12";"1TGT";"1"
"1997-12";"EG3M";"1.382"
"1998-01";"SARON";
"1998-01";"1TGT";"0.625"
"1998-01";"EG3M";"1.182"
"1998-02";"SARON";
